album,year,track,flac,gp,match,notes
A Higher Place,2009,An Ascent,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/11 - An Ascent.flac,,no,
A Higher Place,2009,Thrive,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/12 - Thrive.flac,,no,
A Higher Place,2009,Faces Of Death,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2009 - A Higher Place/tracks/13 - Faces Of Death.flac,,no,
Tomorrow We Die Alive,2013,M∆chine,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/01 - M∆chine.flac,gprotab/born-of-osiris-machine_2.gpx,unknown,also machine_2.gpx; Born_Of_Osiris-Machine_7-string_version-s462497.gp; Born_Of_Osiris-Machine1-s386633.gp
Tomorrow We Die Alive,2013,Divergency,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/02 - Divergency.flac,gprotab/born-of-osiris-divergency.gp5,unknown,also divergency.gp5; Born_Of_Osiris-Divergency-s390359.gp
Tomorrow We Die Alive,2013,Mindful,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/03 - Mindful.flac,,no,
Tomorrow We Die Alive,2013,Exhil∆r∆te,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/04 - Exhil∆r∆te.flac,gprotab/born-of-osiris-exhilarate_2.gp5,unknown,also exhilarate_2.gp5; Born_Of_Osiris-Exhilarate-s386631.gp; born-of-osiris-exhilarate.gp5
Tomorrow We Die Alive,2013,∆bsolution,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/05 - ∆bsolution.flac,Born_Of_Osiris-Absolution-s412499.gp,unknown,
Tomorrow We Die Alive,2013,The Origin,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/06 - The Origin.flac,gprotab/born-of-osiris-the_origin.gp5,unknown,also the_origin.gp5; Born_Of_Osiris-The_Origin_Bass-s410598.gp
Tomorrow We Die Alive,2013,∆eon III,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/07 - ∆eon III.flac,gprotab/born-of-osiris-aeon_iii.gp5,unknown,also aeon_iii.gp5
Tomorrow We Die Alive,2013,Im∆gin∆ry Condition,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/08 - Im∆gin∆ry Condition.flac,,no,
Tomorrow We Die Alive,2013,Illusionist,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/09 - Illusionist.flac,gprotab/born-of-osiris-illusionist.gp4,stub,also illusionist.gp4; Born_Of_Osiris-Illusionist.gp4 | fragment/solo — confirm
Tomorrow We Die Alive,2013,Source Field,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/10 - Source Field.flac,,no,
Tomorrow We Die Alive,2013,Venge∆nce,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/2013 - Tomorrow We Die ∆live/tracks/11 - Venge∆nce.flac,Born_Of_Osiris-Vengeance-s403490.gp,unknown,
Soul Sphere,2015,The Other Half of Me,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/01 - The Other Half of Me.flac,Born_Of_Osiris-The_Other_Half_Of_Me-s405302.gp,unknown,
Soul Sphere,2015,Throw Me in the Jungle,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/02 - Throw Me in the Jungle.flac,,no,
Soul Sphere,2015,Free Fall,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/03 - Free Fall.flac,Born_Of_Osiris-Free_Fall-s402467.gp,unknown,
Soul Sphere,2015,Illuminate,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/04 - Illuminate.flac,gtptabs/extracted/born_of_osiris/illuminate.gp5,unknown,also Born_Of_Osiris-Illuminate-s411327.gp
Soul Sphere,2015,The Sleeping and the Dead,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/05 - The Sleeping and the Dead.flac,,no,
Soul Sphere,2015,Tidebinder,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/06 - Tidebinder.flac,,no,
Soul Sphere,2015,Resilience,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/07 - Resilience.flac,gtptabs/extracted/born_of_osiris/resilience.gp5,unknown,
Soul Sphere,2015,Goddess of the Dawn,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/08 - Goddess of the Dawn.flac,Born_Of_Osiris-Goddess_Of_The_Dawn-s402311.gp,unknown,also goddess_of_the_dawn_solo.gp5
Soul Sphere,2015,"The Louder the Sound, the More We All Believe","C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/09 - The Louder the Sound, the More We All Believe.flac",,no,
Soul Sphere,2015,Warlords,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/10 - Warlords.flac,,no,
Soul Sphere,2015,River of Time,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/11 - River of Time.flac,,no,
Soul Sphere,2015,The Composer,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - Soul Sphere (2015)/12 - The Composer.flac,,no,
The Discovery,2011,Follow the Signs,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/01 Follow the Signs.flac,gtptabs/extracted/born_of_osiris/follow_the_signs.gp5,unknown,also Born_Of_Osiris-Follow_The_Signs_6_string_22_fret-s3776188.gp; Born_Of_Osiris-Follow_The_Signs-s83315.gp; Born_Of_Osiris-Follow_The_Signs_Drop_D_Bass-s404488.gp
The Discovery,2011,Singularity,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/02 Singularity.flac,Born_Of_Osiris-Singularity-s83278.gp,unknown,
The Discovery,2011,Ascension,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/03 Ascension.flac,Born_Of_Osiris-Ascension-s83658.gp,unknown,
The Discovery,2011,Devastate,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/04 Devastate.flac,Born_Of_Osiris-Devastate-s81841.gp,unknown,also Born_Of_Osiris-Devastate_Solo-s393470.gp
The Discovery,2011,Recreate,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/05 Recreate.flac,Born_Of_Osiris-Recreate-s77727.gp,unknown,also Born_Of_Osiris-Recreate.gpx
The Discovery,2011,Two Worlds of Design,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/06 Two Worlds of Design.flac,Born_Of_Osiris-Two_Worlds_Of_Design-s380094.gp,unknown,
The Discovery,2011,A Solution,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/07 A Solution.flac,,no,
The Discovery,2011,Shaping the Masterpiece,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/08 Shaping the Masterpiece.flac,Born_Of_Osiris-Shaping_The_Masterpiece-s403177.gp,unknown,
The Discovery,2011,Dissimulation,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/09 Dissimulation.flac,Born_Of_Osiris-Dissimulation_2-s394618.gp,unknown,also Born_Of_Osiris-Dissimulation-s394616.gp; Born_Of_Osiris-Dissimulation.gp5
The Discovery,2011,Automatic Motion,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/10 Automatic Motion.flac,Born_Of_Osiris-Automatic_Motion-s410601.gp,unknown,
The Discovery,2011,The Omniscient,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/11 The Omniscient.flac,,no,
The Discovery,2011,Last Straw,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/12 Last Straw.flac,Born_Of_Osiris-Last_Straw-s410603.gp,unknown,
The Discovery,2011,Regenerate,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/13 Regenerate.flac,Born_Of_Osiris-Regenerate-s403454.gp,unknown,
The Discovery,2011,XIV,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/14 XIV.flac,Born_Of_Osiris-XIV-s393695.gp,unknown,also Born_Of_Osiris-Xiv.gp5
The Discovery,2011,Behold,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/15 Behold.flac,Born_Of_Osiris-Behold_Solo-s2492452.gp,stub,also Born_Of_Osiris-Behold_Sweep_Picking-s390865.gp | fragment/solo — confirm
The Discovery,2011,Follow the Signs (Misha Mansoor Demo Mix),C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/16 Follow the Signs (Misha Mansoor Demo Mix).flac,,skip,misha mix — do not bank
The Discovery,2011,Singularity (Misha Mansoor Demo Mix),C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/17 Singularity (Misha Mansoor Demo Mix).flac,,skip,misha mix — do not bank
The Discovery,2011,Recreate (Misha Mansoor Demo Mix),C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Discovery (Fye Edition) (FLAC)/18 Recreate (Misha Mansoor Demo Mix).flac,,skip,misha mix — do not bank
The Eternal Reign,2017,Rosecrance,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/01 - Rosecrance.flac,Born_Of_Osiris-Rosecrance-s32186.gp,unknown,also Born_Of_Osiris-Rosecrance.gp5
The Eternal Reign,2017,Empires Erased,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/02 - Empires Erased.flac,musicnoteslib/Born_Of_Osiris-Empires_Erased.gpx,unknown,also Born_Of_Osiris-Empires_Erased-s32188.gp; empires_erased_guitar_cover_by_jerome_turner.gpx
The Eternal Reign,2017,Open Arms To Damnation,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/03 - Open Arms To Damnation.flac,Born_Of_Osiris-Open_Arms_To_Damnation-s27324.gp,unknown,
The Eternal Reign,2017,Abstract Art,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/04 - Abstract Art.flac,musicnoteslib/Born_Of_Osiris-Abstract_Art.gp5,unknown,
The Eternal Reign,2017,The New Reign,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/05 - The New Reign.flac,Born_Of_Osiris-The_New_Reign-s32187.gp,unknown,
The Eternal Reign,2017,Brace Legs,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/06 - Brace Legs.flac,Born_Of_Osiris-Brace_Legs_alt-s84437.gp,unknown,also Born_Of_Osiris-Brace_Legs-s32183.gp; Born_Of_Osiris-Brace_Legs.gp5
The Eternal Reign,2017,Bow Down,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/07 - Bow Down.flac,gprotab/born-of-osiris-bow_down.gp5,unknown,also bow_down.gp5; Born_Of_Osiris-Bow_Down-s439343.gp
The Eternal Reign,2017,The Takeover,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/08 - The Takeover.flac,Born_Of_Osiris-The_Takeover-s66505.gp,unknown,
The Eternal Reign,2017,Glorious Day,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born Of Osiris - The Eternal Reign - 2017/09 - Glorious Day.flac,,no,
The Simulation,2019,The Accursed,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/01 The Accursed.flac,,no,
The Simulation,2019,Disconnectome,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/02 Disconnectome.flac,,no,
The Simulation,2019,Cycles of Tragedy,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/03 Cycles of Tragedy.flac,,no,
The Simulation,2019,Under the Gun,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/04 Under the Gun.flac,Born_Of_Osiris-under_the_gun-s494269.gp,unknown,
The Simulation,2019,Recursion,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/05 Recursion.flac,,no,
The Simulation,2019,Analogs in a Cell,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/06 Analogs in a Cell.flac,Born_Of_Osiris-Analogs_in_a_Cell-s466862.gp,unknown,
The Simulation,2019,Silence the Echo,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/07 Silence the Echo.flac,,no,
The Simulation,2019,One Without the Other,C:/Users/RIGGUSPIG/Desktop/god-tier-metal/reference/audio-corpus/born_of_osiris/Born of Osiris - The Simulation (2019)/08 One Without the Other.flac,,no,
